DiaChi,NgayCap,TenHinhThuc
Quận 3,2014-02-20 00:00:00,PKCK Răng Hàm Mặt
Tân Bình,2016-07-08 00:00:00,PKCK Nội Tim mạch
Quận 5,2013-12-06 00:00:00,PKCK Sản phụ khoa
Quận 5,2016-08-04 00:00:00,Phòng xét nghiệm
Quận 5,2016-08-04 00:00:00,Cơ sở dịch vụ chăm sóc sức khỏe tại nhà
Quận 8,2016-08-04 00:00:00,PKCK Mắt
Tân Phú,2016-08-03 00:00:00,Phòng chẩn trị y học cổ truyền
Quận 6,2016-08-03 00:00:00,Phòng chẩn trị y học cổ truyền
Quận 6,2016-08-03 00:00:00,Phòng chẩn trị y học cổ truyền
Quận 6,2016-08-03 00:00:00,Phòng chẩn trị y học cổ truyền
Bình Tân,2016-07-08 00:00:00,Phòng chẩn trị y học cổ truyền
Quận 6,2016-07-05 00:00:00,PK Nội tổng hợp
Quận 1,2016-08-12 00:00:00,PKCK Nội thần kinh
Tân Phú,2016-05-16 00:00:00,PKCK Phẫu thuật thẩm mỹ
Hóc Môn,2014-10-29 00:00:00,PK Nội tổng hợp
Quận 10,2016-08-15 00:00:00,PKCK Ngoại niệu
Quận 5,2016-08-15 00:00:00,PK Nội tổng hợp
Quận 10,2016-08-15 00:00:00,PKCK Phục hồi chức năng
Hóc Môn,2016-08-15 00:00:00,PK Nội tổng hợp
Gò Vấp,2017-05-09 00:00:00,PK bác sĩ gia đình
Bình Tân,2014-10-24 00:00:00,PKCK Răng Hàm Mặt
Tân Bình,2014-08-13 00:00:00,PKCK Sản phụ khoa
Quận 11,2014-10-30 00:00:00,PKCK Răng Hàm Mặt
Bình Thạnh,2014-07-25 00:00:00,PKCK Tai Mũi Họng
Quận 10,2016-07-21 00:00:00,PKCK Lao và bệnh phổi
Quận 12,2016-07-08 00:00:00,PKCK Răng Hàm Mặt
Hóc Môn,2016-07-08 00:00:00,PKCK Răng Hàm Mặt
Hóc Môn,2016-07-08 00:00:00,PK Nội tổng hợp
Quận 5,2016-07-21 00:00:00,PKCK Ngoại thần kinh
Gò Vấp,2016-07-08 00:00:00,PK Nội tổng hợp
Quận 10,2016-07-21 00:00:00,PK Nội tổng hợp
Quận 8,2017-06-13 00:00:00,Phòng chẩn trị y học cổ truyền
Bình Thạnh,2016-07-21 00:00:00,PKCK Nhi
TP. Thủ Đức,2016-07-21 00:00:00,PKCK Nhi
Gò Vấp,2016-07-18 00:00:00,Phòng chẩn trị y học cổ truyền
Gò Vấp,2016-07-21 00:00:00,PKCK Sản phụ khoa
Phú Nhuận,2016-07-21 00:00:00,PKCK Chấn thương chỉnh hình 
Quận 1,2016-07-27 00:00:00,PKCK Phẫu thuật thẩm mỹ
Bình Chánh,2016-07-21 00:00:00,PK Nội tổng hợp
Quận 3,2016-07-27 00:00:00,PKCK Răng Hàm Mặt
Tân Bình,2014-02-13 00:00:00,PKCK Răng Hàm Mặt
Tân Phú,2016-07-27 00:00:00,PKCK Tai Mũi Họng
TP. Thủ Đức,2016-07-27 00:00:00,Phòng chẩn trị y học cổ truyền
Gò Vấp,2016-07-27 00:00:00,PKCK Răng Hàm Mặt
Quận 1,2016-07-27 00:00:00,Phòng chẩn trị y học cổ truyền
Quận 10,2016-07-27 00:00:00,PKCK Tai Mũi Họng
Quận 10,2016-07-27 00:00:00,Phòng chẩn trị y học cổ truyền
Quận 10,2016-07-27 00:00:00,PKCK Phẫu thuật thẩm mỹ
Quận 5,2016-08-15 00:00:00,PK bác sĩ gia đình
Bình Thạnh,2016-07-05 00:00:00,PKCK Ung bướu
Phú Nhuận,2016-08-15 00:00:00,PKCK Sản phụ khoa
Quận 1,2016-07-14 00:00:00,PKCK Da liễu
Quận 1,2016-07-05 00:00:00,PKCK Phẫu thuật thẩm mỹ
TP. Thủ Đức,2016-07-27 00:00:00,Phòng chẩn trị y học cổ truyền
Quận 11,2016-08-04 00:00:00,"Cơ sở dịch vụ cấp cứu, hỗ trợ vận chuyển người bệnh"
TP. Thủ Đức,2016-07-27 00:00:00,Phòng chẩn trị y học cổ truyền
Quận 12,2016-07-27 00:00:00,PKCK Da liễu
Bình Thạnh,2016-07-14 00:00:00,PK Nội tổng hợp
Bình Thạnh,2016-07-21 00:00:00,PKCK Răng Hàm Mặt
Bình Thạnh,2016-07-05 00:00:00,Phòng chẩn đoán hình ảnh
Bình Thạnh,2016-07-18 00:00:00,Phòng chẩn trị y học cổ truyền
Bình Thạnh,2016-07-18 00:00:00,Phòng chẩn trị y học cổ truyền
Gò Vấp,2016-07-18 00:00:00,Phòng chẩn trị y học cổ truyền
Tân Bình,2016-07-18 00:00:00,PK Nội tổng hợp
Quận 10,2017-06-02 00:00:00,PK Nội tổng hợp
Quận 6,2016-07-08 00:00:00,PKCK Răng Hàm Mặt
Tân Bình,2016-07-08 00:00:00,PK Nội tổng hợp
Quận 8,2016-07-08 00:00:00,PK Nội tổng hợp
Bình Tân,2016-07-08 00:00:00,PKCK Sản phụ khoa
Tân Phú,2016-08-15 00:00:00,PKCK Răng Hàm Mặt
Quận 7,2016-07-08 00:00:00,PK Nội tổng hợp
TP. Thủ Đức,2016-08-15 00:00:00,Phòng xét nghiệm
Tân Bình,2016-07-08 00:00:00,PK Nội tổng hợp
Quận 8,2016-07-08 00:00:00,PK Nội tổng hợp
Củ Chi,2016-07-08 00:00:00,PKCK Răng Hàm Mặt
Bình Tân,2014-05-30 00:00:00,PKCK Sản phụ khoa
Quận 7,2014-02-11 00:00:00,PKCK Sản phụ khoa
Quận 10,2013-08-06 00:00:00,Phòng xét nghiệm
Quận 12,2016-07-18 00:00:00,PKCK Chấn thương chỉnh hình 
Quận 1,2016-04-10 00:00:00,Bệnh viện chuyên khoa
Quận 10,2013-02-05 00:00:00,Bệnh viện đa khoa
Tân Bình,2014-01-20 00:00:00,Bệnh viện chuyên khoa
Quận 5,2013-12-25 00:00:00,Bệnh viện chuyên khoa
Quận 5,2014-01-08 00:00:00,Bệnh viện đa khoa
Bình Tân,2015-12-29 00:00:00,Bệnh viện đa khoa
Quận 7,2016-09-16 00:00:00,Bệnh viện chuyên khoa
Quận 10,2013-12-25 00:00:00,Bệnh viện đa khoa
Gò Vấp,2016-04-15 00:00:00,Bệnh viện đa khoa
Tân Phú,2013-12-25 00:00:00,Bệnh viện chuyên khoa
Quận 1,2009-11-19 00:00:00,Bệnh viện chuyên khoa
Quận 12,2016-04-20 00:00:00,Bệnh viện đa khoa
Quận 10,2013-02-28 00:00:00,Bệnh viện chuyên khoa
Tân Bình,2016-04-15 00:00:00,Bệnh viện chuyên khoa
Bình Tân,2016-05-11 00:00:00,Bệnh viện đa khoa
Tân Phú,2016-04-15 00:00:00,Bệnh viện đa khoa
Phú Nhuận,2016-04-19 00:00:00,Bệnh viện chuyên khoa
Bình Thạnh,2016-11-22 00:00:00,Bệnh viện đa khoa
Quận 8,2016-05-05 00:00:00,Bệnh viện chuyên khoa
Quận 7,2016-06-13 00:00:00,Bệnh viện đa khoa
Quận 3,2015-11-05 00:00:00,Bệnh viện chuyên khoa
Hóc Môn,2016-09-01 00:00:00,PK đa khoa
Quận 10,2016-09-07 00:00:00,PK đa khoa
Phú Nhuận,2013-12-25 00:00:00,Bệnh viện đa khoa
Phú Nhuận,2014-04-10 00:00:00,Bệnh viện đa khoa
Tân Phú,2014-02-11 00:00:00,PKCK Tai Mũi Họng
Quận 10,2016-03-01 00:00:00,PKCK Phẫu thuật thẩm mỹ
Tân Bình,2014-04-22 00:00:00,PKCK Sản phụ khoa
Tân Bình,2013-10-23 00:00:00,Bệnh viện đa khoa
Quận 5,2000-01-01 00:00:00,Bệnh viện đa khoa
Quận 10,2013-12-25 00:00:00,Bệnh viện chuyên khoa
Bình Thạnh,2013-06-14 00:00:00,Bệnh viện chuyên khoa
Quận 1,2016-10-07 00:00:00,Bệnh viện chuyên khoa
Quận 1,2016-10-07 00:00:00,Bệnh viện chuyên khoa
Quận 1,2016-10-07 00:00:00,Bệnh viện chuyên khoa
Quận 1,2016-10-07 00:00:00,Bệnh viện chuyên khoa
Quận 8,2013-11-12 00:00:00,Bệnh viện chuyên khoa
Quận 10,2014-04-28 00:00:00,Bệnh viện chuyên khoa
Quận 7,2015-04-24 00:00:00,Bệnh viện đa khoa
Gò Vấp,2014-04-28 00:00:00,Bệnh viện đa khoa
Bình Tân,2013-12-31 00:00:00,Bệnh viện đa khoa
Quận 3,2013-04-17 00:00:00,PKCK Da liễu
TP. Thủ Đức,2016-01-27 00:00:00,Bệnh viện chuyên khoa
Quận 1,2013-12-25 00:00:00,Bệnh viện chuyên khoa
Phú Nhuận,2017-07-25 00:00:00,Bệnh viện đa khoa
Quận 1,2016-01-27 00:00:00,Bệnh viện chuyên khoa
TP. Thủ Đức,2016-09-12 00:00:00,PKCK Nhi
Bình Tân,2016-08-22 00:00:00,PK Nội tổng hợp
Bình Chánh,2016-08-22 00:00:00,PK Nội tổng hợp
Tân Phú,2016-08-22 00:00:00,PK Nội tổng hợp
Quận 11,2014-05-06 00:00:00,PKCK Tai Mũi Họng
TP. Thủ Đức,2016-09-12 00:00:00,PKCK Phẫu thuật thẩm mỹ
Quận 11,2014-05-05 00:00:00,PK Nội tổng hợp
TP. Thủ Đức,2016-09-08 00:00:00,Phòng chẩn trị y học cổ truyền
TP. Thủ Đức,2016-09-12 00:00:00,Phòng chẩn trị y học cổ truyền
Phú Nhuận,2016-09-16 00:00:00,"Cơ sở dịch vụ tiêm (chích), thay băng, đếm mạch, đo nhiệt độ, đo huyết áp"
Củ Chi,2016-09-16 00:00:00,PK Chẩn đoán hình ảnh
Tân Bình,2016-09-16 00:00:00,PKCK Da liễu
Quận 10,2016-09-16 00:00:00,Cơ sở dịch vụ chăm sóc sức khỏe tại nhà
TP. Thủ Đức,2016-09-16 00:00:00,PK Nội tổng hợp
Củ Chi,2016-09-16 00:00:00,PK Nội tổng hợp
Bình Chánh,2016-09-16 00:00:00,PK Nội tổng hợp
Quận 3,2016-09-16 00:00:00,PK Nội tổng hợp
Quận 10,2016-09-16 00:00:00,PK Chẩn đoán hình ảnh
Quận 6,2016-09-16 00:00:00,PKCK Ngoại
Quận 5,2016-09-16 00:00:00,Phòng xét nghiệm
Quận 10,2016-09-16 00:00:00,Phòng xét nghiệm
Bình Tân,2016-09-16 00:00:00,PKCK Ngoại
Tân Bình,2016-09-16 00:00:00,PK Nội tổng hợp
Phú Nhuận,2016-09-16 00:00:00,PKCK Tâm thần
Củ Chi,2016-09-16 00:00:00,Cơ sở dịch vụ chăm sóc sức khỏe tại nhà
Quận 10,2016-09-01 00:00:00,PKCK Phục hồi chức năng
Quận 12,2016-09-08 00:00:00,Phòng chẩn trị y học cổ truyền
Nhà Bè,2016-09-07 00:00:00,PKCK Sản phụ khoa
Hóc Môn,2016-09-07 00:00:00,PKCK Nhi
Hóc Môn,2016-09-07 00:00:00,PK Nội tổng hợp
Quận 3,2016-09-07 00:00:00,PKCK Tai Mũi Họng
TP. Thủ Đức,2016-09-07 00:00:00,PK Nội tổng hợp
Quận 12,2016-09-08 00:00:00,Phòng chẩn trị y học cổ truyền
Quận 5,2016-09-08 00:00:00,Phòng chẩn trị y học cổ truyền
Quận 5,2016-09-08 00:00:00,Phòng chẩn trị y học cổ truyền
Quận 5,2016-09-08 00:00:00,Phòng chẩn trị y học cổ truyền
TP. Thủ Đức,2016-09-08 00:00:00,Phòng chẩn trị y học cổ truyền
Quận 6,2016-09-08 00:00:00,Phòng chẩn trị y học cổ truyền
Quận 7,2016-08-26 00:00:00,Phòng chẩn trị y học cổ truyền
Quận 6,2016-08-26 00:00:00,Phòng chẩn trị y học cổ truyền
Quận 10,2016-09-01 00:00:00,PKCK Phục hồi chức năng
Quận 11,2016-09-01 00:00:00,PK Nội tổng hợp
Gò Vấp,2016-07-07 00:00:00,Phòng chẩn trị y học cổ truyền
Gò Vấp,2016-07-07 00:00:00,Phòng chẩn trị y học cổ truyền
Bình Chánh,2016-07-08 00:00:00,Phòng chẩn trị y học cổ truyền
Quận 5,2016-07-14 00:00:00,Phòng chẩn trị y học cổ truyền
Quận 11,2016-07-14 00:00:00,Phòng chẩn đoán hình ảnh
Bình Tân,2016-07-15 00:00:00,PK Nội tổng hợp
Bình Chánh,2016-07-15 00:00:00,Cơ sở dịch vụ làm răng giả
Hóc Môn,2016-07-29 00:00:00,PKCK Nhi
Tân Bình,2016-08-24 00:00:00,PKCK Nhi
Bình Chánh,2016-08-24 00:00:00,PKCK Nhi
TP. Thủ Đức,2016-08-22 00:00:00,PKCK Ngoại
Quận 8,2016-08-22 00:00:00,PK Nội tổng hợp
Quận 8,2016-08-22 00:00:00,PK Nội tổng hợp
Phú Nhuận,2016-08-24 00:00:00,PKCK Tai Mũi Họng
Bình Chánh,2016-08-24 00:00:00,PKCK Tai Mũi Họng
Quận 3,2016-07-08 00:00:00,PKCK Ngoại
Quận 11,2016-08-23 00:00:00,Phòng chẩn trị y học cổ truyền
Bình Thạnh,2016-08-23 00:00:00,Phòng chẩn trị y học cổ truyền
Gò Vấp,2016-08-23 00:00:00,Phòng chẩn trị y học cổ truyền
Phú Nhuận,2016-08-23 00:00:00,Phòng chẩn trị y học cổ truyền
Bình Thạnh,2016-08-23 00:00:00,Phòng chẩn trị y học cổ truyền
Tân Bình,2016-08-22 00:00:00,Phòng chẩn trị y học cổ truyền
Bình Chánh,2016-08-22 00:00:00,Phòng chẩn trị y học cổ truyền
Bình Chánh,2016-08-22 00:00:00,Phòng chẩn trị y học cổ truyền
Quận 11,2016-08-22 00:00:00,Phòng chẩn trị y học cổ truyền
Bình Chánh,2016-08-22 00:00:00,Phòng chẩn trị y học cổ truyền
Tân Bình,2016-08-22 00:00:00,Phòng chẩn trị y học cổ truyền
Quận 6,2016-08-22 00:00:00,PKCK Sản phụ khoa
Tân Phú,2016-11-11 00:00:00,PKCK Nhi
Gò Vấp,2016-11-21 00:00:00,PKCK Răng Hàm Mặt
Quận 11,2016-11-21 00:00:00,PK Chẩn đoán hình ảnh
Quận 10,2016-11-21 00:00:00,PKCK Phẫu thuật thẩm mỹ
Bình Tân,2017-07-24 00:00:00,PK Nội tổng hợp
Quận 7,2016-11-21 00:00:00,PK bác sĩ gia đình
Quận 10,2016-11-21 00:00:00,PKCK Răng Hàm Mặt
Tân Phú,2016-11-21 00:00:00,PKCK Tai Mũi Họng
Bình Thạnh,2016-11-21 00:00:00,PKCK Răng Hàm Mặt
Quận 7,2016-11-21 00:00:00,PKCK Răng Hàm Mặt
Bình Tân,2016-11-21 00:00:00,PK Nội tổng hợp
Quận 6,2016-10-04 00:00:00,PKCK Sản phụ khoa
Quận 12,2016-11-11 00:00:00,PK Nội tổng hợp
Quận 5,2016-11-11 00:00:00,PKCK Ngoại
Gò Vấp,2016-11-01 00:00:00,Phòng chẩn trị y học cổ truyền
Gò Vấp,2016-11-01 00:00:00,Phòng chẩn trị y học cổ truyền
Tân Phú,2016-10-04 00:00:00,PKCK Ngoại
Quận 12,2016-10-04 00:00:00,PK Nội tổng hợp
Gò Vấp,2016-10-04 00:00:00,PKCK Mắt
Quận 12,2016-10-04 00:00:00,PKCK Răng Hàm Mặt
Quận 1,2012-12-28 00:00:00,Bệnh viện chuyên khoa
Tân Bình,2014-01-17 00:00:00,Bệnh viện đa khoa
Quận 10,2016-12-15 00:00:00,Phòng chẩn đoán hình ảnh
Quận 3,2016-04-15 00:00:00,Bệnh viện chuyên khoa
Quận 10,2015-10-12 00:00:00,Bệnh viện chuyên khoa
Quận 10,2013-10-02 00:00:00,Bệnh viện chuyên khoa
Bình Tân,2013-12-25 00:00:00,Bệnh viện đa khoa
TP. Thủ Đức,2015-01-29 00:00:00,Bệnh viện đa khoa
Tân Bình,2000-01-01 00:00:00,Bệnh viện đa khoa
Quận 1,2017-01-19 00:00:00,PKCK Da liễu
Quận 1,2017-02-21 00:00:00,PKCK Răng Hàm Mặt
Quận 10,2017-02-07 00:00:00,Bệnh viện chuyên khoa
Quận 10,2017-05-10 00:00:00,PK đa khoa
Quận 3,2015-12-25 00:00:00,PKCK Sản phụ khoa
Phú Nhuận,2017-04-14 00:00:00,PK đa khoa
Quận 1,2017-07-13 00:00:00,Phòng xét nghiệm
Quận 1,2017-04-14 00:00:00,PK đa khoa
Bình Thạnh,2017-06-13 00:00:00,PK Nội tổng hợp
Tân Bình,2017-07-13 00:00:00,Phòng chẩn trị y học cổ truyền
Tân Bình,2017-06-13 00:00:00,PKCK Nhi
Quận 8,2017-04-13 00:00:00,Phòng chẩn trị y học cổ truyền
Quận 7,2017-05-24 00:00:00,Phòng chẩn trị y học cổ truyền
Gò Vấp,2017-05-10 00:00:00,PKCK Răng Hàm Mặt
Gò Vấp,2017-09-21 00:00:00,PKCK Tai Mũi Họng
Gò Vấp,2017-06-22 00:00:00,PKCK Răng Hàm Mặt
Tân Bình,2017-09-21 00:00:00,PKCK Chấn thương chỉnh hình 
TP. Thủ Đức,2017-02-21 00:00:00,PKCK Sản phụ khoa
Tân Bình,2017-04-14 00:00:00,Phòng chẩn trị y học cổ truyền khác
Tân Bình,2017-08-16 00:00:00,Phòng chẩn trị y học cổ truyền
TP. Thủ Đức,2017-08-29 00:00:00,PKCK Nhi
Tân Bình,2017-05-15 00:00:00,PKCK Da liễu
Nhà Bè,2017-04-26 00:00:00,Cơ sở dịch vụ làm răng giả
Tân Bình,2017-05-24 00:00:00,PK Nội tổng hợp
Tân Bình,2017-09-13 00:00:00,PKCK Răng Hàm Mặt
Tân Bình,2017-05-09 00:00:00,PKCK Sản phụ khoa
TP. Thủ Đức,2017-05-09 00:00:00,PKCK Tai Mũi Họng
Cần Giờ,2017-05-10 00:00:00,Phòng chẩn trị y học cổ truyền
Hóc Môn,2017-04-26 00:00:00,PKCK Sản phụ khoa
Tân Bình,2017-04-14 00:00:00,Phòng chẩn trị y học cổ truyền
Hóc Môn,2017-06-22 00:00:00,PKCK Sản phụ khoa
Tân Bình,2017-06-30 00:00:00,PKCK Mắt
Hóc Môn,2017-06-22 00:00:00,Phòng chẩn trị y học cổ truyền
Tân Bình,2017-06-13 00:00:00,PKCK Sản phụ khoa
Hóc Môn,2017-05-15 00:00:00,PKCK Nhi
Tân Bình,2017-04-14 00:00:00,Phòng chẩn trị y học cổ truyền
Hóc Môn,2017-06-02 00:00:00,PKCK Tai Mũi Họng
Quận 7,2017-06-22 00:00:00,PK Nội tổng hợp
Quận 7,2017-04-13 00:00:00,PKCK Da liễu
Quận 6,2017-08-24 00:00:00,PKCK Sản phụ khoa
Hóc Môn,2017-04-26 00:00:00,PK Nội tổng hợp
Quận 7,2017-07-20 00:00:00,PKCK Da liễu
Quận 6,2017-04-21 00:00:00,Phòng chẩn trị y học cổ truyền
Hóc Môn,2017-04-26 00:00:00,PKCK Nhi
TP. Thủ Đức,2017-07-26 00:00:00,PK Nội tổng hợp
Hóc Môn,2017-04-21 00:00:00,PKCK Sản phụ khoa
Hóc Môn,2017-05-09 00:00:00,PKCK Nhi
Hóc Môn,2017-07-06 00:00:00,Phòng chẩn trị y học cổ truyền
Bình Chánh,2017-07-26 00:00:00,PKCK Ngoại lồng ngực
Hóc Môn,2017-04-26 00:00:00,PK Nội tổng hợp
Bình Chánh,2017-06-22 00:00:00,Phòng chẩn trị y học cổ truyền
Củ Chi,2017-07-26 00:00:00,PKCK thuộc hệ nội
Quận 8,2017-04-25 00:00:00,PKCK Mắt
Quận 8,2017-07-06 00:00:00,PKCK Răng Hàm Mặt
Bình Chánh,2017-06-05 00:00:00,PK Nội tổng hợp
Quận 8,2017-06-21 00:00:00,PKCK Da liễu
Củ Chi,2017-07-13 00:00:00,"Cơ sở dịch vụ cấp cứu, hỗ trợ vận chuyển người bệnh"
Quận 8,2017-04-26 00:00:00,PKCK Mắt
Quận 8,2017-04-25 00:00:00,Phòng chẩn trị y học cổ truyền
Bình Chánh,2017-04-25 00:00:00,PK Nội tổng hợp
Bình Chánh,2017-07-26 00:00:00,PKCK Răng Hàm Mặt
Bình Chánh,2017-08-24 00:00:00,PKCK Nhi
Tân Bình,2017-06-27 00:00:00,PKCK Nhi
Bình Chánh,2017-05-09 00:00:00,PKCK Răng Hàm Mặt
Quận 8,2017-04-13 00:00:00,PK Nội tổng hợp
Tân Bình,2017-07-20 00:00:00,PKCK Răng Hàm Mặt
Bình Tân,2017-05-09 00:00:00,PKCK Răng Hàm Mặt
Quận 8,2017-07-06 00:00:00,PKCK Phẫu thuật thẩm mỹ
Quận 6,2017-04-26 00:00:00,PKCK Răng Hàm Mặt
Tân Bình,2017-07-05 00:00:00,Phòng chẩn trị y học cổ truyền
Quận 7,2017-04-25 00:00:00,PKCK Phẫu thuật thẩm mỹ
Quận 8,2017-06-02 00:00:00,PKCK Ngoại nhi
Gò Vấp,2017-07-13 00:00:00,Phòng chẩn trị y học cổ truyền
Gò Vấp,2017-08-24 00:00:00,PKCK Tai Mũi Họng
Quận 8,2017-05-09 00:00:00,PKCK Răng Hàm Mặt
Gò Vấp,2017-08-31 00:00:00,Phòng chẩn trị y học cổ truyền
Gò Vấp,2017-09-05 00:00:00,PKCK Ung bướu
Gò Vấp,2017-08-24 00:00:00,PKCK Sản phụ khoa
Gò Vấp,2017-05-08 00:00:00,Phòng chẩn trị y học cổ truyền
Quận 8,2017-06-02 00:00:00,PK Nội tổng hợp
Gò Vấp,2017-09-13 00:00:00,Cơ sở dịch vụ làm răng giả
Quận 8,2017-06-13 00:00:00,PK Nội tổng hợp
Gò Vấp,2017-08-16 00:00:00,Phòng xét nghiệm
Quận 8,2017-04-25 00:00:00,PKCK Nhi
Bình Tân,2017-09-21 00:00:00,PKCK Sản phụ khoa
Quận 8,2017-04-25 00:00:00,PK Nội tổng hợp
Bình Tân,2017-05-09 00:00:00,PK Nội tổng hợp
Quận 8,2017-04-26 00:00:00,PKCK Mắt
Quận 8,2017-08-31 00:00:00,PKCK Răng Hàm Mặt
Quận 8,2017-05-24 00:00:00,PKCK Mắt
Bình Thạnh,2017-05-15 00:00:00,Phòng chẩn trị y học cổ truyền
Hóc Môn,2017-04-21 00:00:00,Phòng chẩn trị y học cổ truyền
Hóc Môn,2017-07-06 00:00:00,PK Nội tổng hợp
Gò Vấp,2017-09-13 00:00:00,PKCK Răng Hàm Mặt
Gò Vấp,2017-05-10 00:00:00,PKCK Ngoại niệu
Bình Tân,2017-06-30 00:00:00,PKCK Mắt
Hóc Môn,2017-05-08 00:00:00,PKCK Sản phụ khoa
Bình Thạnh,2017-06-02 00:00:00,PK Nội tổng hợp
Hóc Môn,2017-07-13 00:00:00,PKCK Mắt
Hóc Môn,2017-06-13 00:00:00,PKCK Sản phụ khoa
Bình Thạnh,2017-05-24 00:00:00,PKCK Ung bướu
Hóc Môn,2017-08-31 00:00:00,PK Nội tổng hợp
Quận 8,2017-07-20 00:00:00,PKCK Sản phụ khoa
Quận 8,2017-07-06 00:00:00,PKCK Ngoại
Gò Vấp,2017-08-31 00:00:00,PK Nội tổng hợp
Bình Thạnh,2017-04-14 00:00:00,PK Chẩn đoán hình ảnh
Cần Giờ,2017-06-02 00:00:00,PK Nội tổng hợp
Cần Giờ,2017-05-10 00:00:00,Phòng chẩn trị y học cổ truyền
Cần Giờ,2017-06-22 00:00:00,Phòng chẩn trị y học cổ truyền
Phú Nhuận,2017-09-05 00:00:00,PKCK Sản phụ khoa
Bình Tân,2017-05-15 00:00:00,PKCK Nhi
Phú Nhuận,2017-06-02 00:00:00,PKCK Nhi
Gò Vấp,2017-07-24 00:00:00,PKCK Nhi
Phú Nhuận,2017-05-24 00:00:00,PKCK Răng Hàm Mặt
Phú Nhuận,2017-05-09 00:00:00,PKCK Da liễu
Bình Tân,2017-05-10 00:00:00,PK Nội tổng hợp
Quận 1,2017-06-05 00:00:00,PKCK Tai Mũi Họng
Gò Vấp,2017-09-13 00:00:00,PKCK Tai Mũi Họng
Quận 1,2017-07-24 00:00:00,PKCK Mắt
Gò Vấp,2017-09-05 00:00:00,Phòng chẩn trị y học cổ truyền
Cần Giờ,2017-06-22 00:00:00,PK Nội tổng hợp
Quận 1,2017-06-21 00:00:00,Cơ sở dịch vụ làm răng giả
Tân Bình,2017-06-13 00:00:00,PK Nội tổng hợp
TP. Thủ Đức,2017-05-15 00:00:00,PKCK Chấn thương chỉnh hình 
Quận 1,2017-06-21 00:00:00,PKCK Răng Hàm Mặt
Tân Bình,2017-05-24 00:00:00,PKCK Nhiễm
Tân Bình,2017-08-24 00:00:00,PKCK Răng Hàm Mặt
Quận 11,2017-06-27 00:00:00,Phòng chẩn trị y học cổ truyền
Tân Bình,2017-04-14 00:00:00,PK Nội tổng hợp
Nhà Bè,2017-09-05 00:00:00,PKCK Phục hồi chức năng
Quận 11,2017-06-02 00:00:00,PKCK Chấn thương chỉnh hình 
Tân Bình,2017-09-21 00:00:00,PKCK Răng Hàm Mặt
Bình Thạnh,2017-06-13 00:00:00,PK Chẩn đoán hình ảnh
Quận 11,2017-06-21 00:00:00,PKCK Nhi
Bình Tân,2017-05-08 00:00:00,PKCK Ngoại
Quận 11,2017-04-26 00:00:00,Phòng chẩn trị y học cổ truyền
Tân Bình,2017-06-21 00:00:00,PK Nội tổng hợp
Tân Bình,2017-04-14 00:00:00,PKCK Răng Hàm Mặt
Hóc Môn,2017-04-26 00:00:00,Phòng xét nghiệm
Hóc Môn,2017-07-06 00:00:00,PKCK Nhi
Tân Bình,2017-09-18 00:00:00,Phòng chẩn trị y học cổ truyền
Quận 11,2017-09-13 00:00:00,Phòng xét nghiệm
Hóc Môn,2017-05-15 00:00:00,Phòng chẩn trị y học cổ truyền
Quận 7,2017-04-13 00:00:00,PKCK Răng Hàm Mặt
Củ Chi,2017-07-13 00:00:00,"Cơ sở dịch vụ tiêm (chích), thay băng, đếm mạch, đo nhiệt độ, đo huyết áp"
Hóc Môn,2017-05-10 00:00:00,PK Nội tổng hợp
Củ Chi,2017-09-18 00:00:00,Phòng chẩn trị y học cổ truyền
Bình Thạnh,2017-04-26 00:00:00,PKCK Nhi
Quận 11,2017-04-14 00:00:00,PK Nội tổng hợp
Củ Chi,2017-05-24 00:00:00,PK Nội tổng hợp
Quận 11,2017-09-05 00:00:00,PK Nội tổng hợp
Tân Phú,2017-07-26 00:00:00,PKCK Mắt
Quận 11,2017-04-14 00:00:00,Phòng chẩn trị y học cổ truyền
Hóc Môn,2017-09-18 00:00:00,PK Chẩn đoán hình ảnh
TP. Thủ Đức,2017-06-02 00:00:00,PKCK Sản phụ khoa
Bình Thạnh,2017-08-24 00:00:00,PKCK Răng Hàm Mặt
Quận 7,2017-04-25 00:00:00,PKCK Da liễu
Bình Thạnh,2017-07-05 00:00:00,PKCK Răng Hàm Mặt
Quận 3,2017-05-09 00:00:00,PKCK Phẫu thuật thẩm mỹ
TP. Thủ Đức,2017-06-13 00:00:00,PK Nội tổng hợp
Quận 6,2017-05-09 00:00:00,PKCK Nhi
TP. Thủ Đức,2017-04-25 00:00:00,PKCK Nhi
Quận 6,2017-06-30 00:00:00,PK Nội tổng hợp
TP. Thủ Đức,2017-08-04 00:00:00,Cơ sở dịch vụ làm răng giả
TP. Thủ Đức,2017-08-14 00:00:00,Phòng chẩn trị y học cổ truyền
TP. Thủ Đức,2017-05-09 00:00:00,Phòng chẩn trị y học cổ truyền
Quận 3,2017-09-05 00:00:00,PKCK Da liễu
Quận 7,2017-05-09 00:00:00,Phòng xét nghiệm
Quận 6,2017-02-21 00:00:00,PKCK Nội tiết
Bình Thạnh,2017-06-13 00:00:00,PKCK Răng Hàm Mặt
Quận 6,2017-09-26 00:00:00,PKCK Răng Hàm Mặt
Bình Thạnh,2017-04-26 00:00:00,PK Nội tổng hợp
Củ Chi,2017-05-15 00:00:00,PK Nội tổng hợp
Quận 10,2017-06-21 00:00:00,PKCK Nội thần kinh
