LOAIHINHHN,PHAMVIHN,DUONG,PHUONG,QUAN,CVXLCCHN,NGCAPCCHN,NOICAPCCHN,GPP_GDP_GSP,NGAYCAPGCN,NGAYHHGCN
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","306, Bến Vân Đồn",Phường 02,Quận 4,Ds. Trương Việt Cường,2022-09-30,Sở Y tế TP.HCM,GPP,2023-01-03,03/01/2026
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","Căn hộ số 0.11, Block A2, Chung cư Hưng Ngân Graden, 48A Dương Thị Mười, Tổ 15, Khu phố 1",Phường Tân Chánh Hiệp,Quận 12,Ds. Nguyễn Thị Kim Ngân,2020-06-03,Sở Y tế TP.HCM,GPP,2023-12-12,12/12/2026
nhà thuốc,bán thuốc trừ vắc xin,"238, Võ Thành Trang",Phường 11,Tân Bình,Ds Trần Thị Như Thủy,2014-05-20,Sở Y tế TP.HCM,GPP,2017-07-01,01/07/2020
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","Số 805, Đường Huỳnh Tấn Phát",Phường Phú Thuận,Quận 7,Ds. Nguyễn Trần Công Huân,2023-08-04,Sở Y tế TP.HCM,GPP,2024-04-19,19/04/2027
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","Số 170, đường Tỉnh Lộ 8, Khu phố 2",Thị trấn Củ Chi,Củ Chi,Ds. Nguyễn Thị Ngọc Diễm,2023-04-13,Sở Y tế TP.HCM,GPP,2023-06-14,14/06/2026
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","3034, Phạm Thế Hiển",Phường 07,Quận 8,,2018-09-18,Sở Y tế Tỉnh Nghệ An,GPP,2020-06-26,26/06/2023
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","529, Huỳnh Văn Bánh",Phường 13,Phú Nhuận,,2023-04-12,Sở Y tế TP. Cần Thơ,GPP,2024-01-19,19/01/2027
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","550, Tân Kỳ Tân Quý",Phường Bình Hưng Hòa,Bình Tân,,2022-12-23,Sở Y tế Tỉnh Bình Dương,GPP,2023-12-12,12/12/2026
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","Số 1209, đường Nguyễn Xiển",Phường Long Bình,TP. Thủ Đức,Ds. Trương Việt Cường,2023-01-16,Sở Y tế TP.HCM,GPP,2023-04-06,06/04/2026
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","1041, Quốc lộ 50",Xã Bình Hưng,Bình Chánh,Ds. Trương Việt Cường,2023-02-20,Sở Y tế TP.HCM,GPP,2023-04-10,10/04/2026
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","313A, Đường số 5, Khu phố 9",Phường Bình Hưng Hòa,Bình Tân,Ds Phạm Văn Sơn,2017-02-14,Sở Y tế TP.HCM,GPP,2023-12-19,19/12/2026
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","62, Bà Triệu, Khu phố 1",Thị trấn Hóc Môn,Hóc Môn,Ds. Nguyễn Thị Ngọc Diễm,2022-07-27,Sở Y tế TP.HCM,GPP,2023-04-26,26/04/2026
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","185, Đường số 6",Phường Bình Trị Đông B,Bình Tân,Ds Phạm Văn Sơn,2016-12-27,Sở Y tế TP.HCM,GPP,2023-06-14,14/06/2026
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","385, Lê Văn Thọ",Phường 09,Gò Vấp,Ds Lê Thị Minh Thảo,2014-12-18,Sở Y tế TP.HCM,GPP,2023-01-03,03/01/2026
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","52, Nguyễn Văn Lượng",Phường 17,Gò Vấp,Ds Phạm Văn Sơn,2014-08-05,Sở Y tế TP.HCM,GPP,2023-07-03,03/07/2026
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","33, Bế Văn Cấm",Phường Tân Kiểng,Quận 7,Ds Phạm Văn Sơn,2014-10-01,Sở Y tế TP.HCM,GPP,2018-06-15,15/06/2021
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","441, Đường Kha Vạn Cân, Khu phố 6",Phường Hiệp Bình Chánh,TP. Thủ Đức,Ds Lê Thị Thu Hòa,2016-07-07,Sở Y tế TP.HCM,GPP,2023-01-03,03/01/2026
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","401, Nguyễn Văn Luông, Phường12",,Quận 6,Ds. Bùi Thanh Nguyệt,2023-04-13,Sở Y tế TP.HCM,GPP,2023-10-31,31/10/2026
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","214, Tổ 26, ấp Phú Hòa",Xã Phú Hòa Đông,Củ Chi,Ds. Lê Thị Minh Thảo,2018-04-13,Sở Y tế TP.HCM,GPP,2021-11-29,29/11/2024
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","32, Quốc lộ 13",Phường Hiệp Bình Chánh,TP. Thủ Đức,Ds. Nguyễn Thị Ngọc Diễm,2023-04-21,Sở Y tế TP.HCM,GPP,2023-11-14,14/11/2026
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm",59 đường 138,Phường Tân Phú,TP. Thủ Đức,Nguyễn Thị Kim Ngân,2024-04-25,Sở Y tế TP.HCM,GPP,2024-07-04,05/07/2027
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","F9/1D, Ấp 6",Xã Vĩnh Lộc A,Bình Chánh,,2022-03-14,Sở Y tế TP. Cần Thơ,GPP,2023-03-20,20/03/2026
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","464, Lê Văn Khương, Tổ 7, Khu phố 3",Phường Thới An,Quận 12,,2021-02-24,Sở Y tế Tỉnh Đồng Tháp,GPP,2021-05-24,24/05/2024
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","37, Kênh Nước Đen",Phường Tân Thành,Tân Phú,Ds. Trần Minh Trí,2021-02-02,Sở Y tế TP.HCM,GPP,2021-04-07,07/04/2024
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","994/48B, Huỳnh Tấn Phát",Phường Tân Phú,Quận 7,Ds. Bùi Hùng Cường,2022-11-03,Sở Y tế TP.HCM,GPP,2023-04-11,11/04/2026
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm",13 ĐƯỜNG số 44,Phường 14,Gò Vấp,Lê Thị Minh Thảo,2024-07-18,Sở Y tế TP.HCM,GPP,2024-10-04,05/10/2027
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","391, Quốc lộ 13, Khu phố 5",Phường Hiệp Bình Phước,TP. Thủ Đức,,2016-08-17,Sở Y tế Tỉnh Trà Vinh,GPP,2022-12-01,01/12/2025
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","D1/1, ấp 4",Xã Lê Minh Xuân,Bình Chánh,,2019-10-23,Sở Y tế Tỉnh Đồng Tháp,GPP,2023-08-09,09/08/2026
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","954, Tạ Quang Bửu",Phường 06,Quận 8,Ds. Nguyễn Thị Kim Ngân,2022-12-01,Sở Y tế TP.HCM,GPP,2023-11-17,17/11/2026
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","B243A, Đoàn Văn Bơ",Phường 18,Quận 4,Ds. Nguyễn Thị Kim Ngân,2018-12-19,Sở Y tế TP.HCM,GPP,2022-11-21,21/11/2025
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","Số 917, Tỉnh lộ 7, ấp Bàu Điều Thượng",Xã Phước Thạnh,Củ Chi,,2013-08-07,Sở Y tế Tỉnh Trà Vinh,GPP,2021-11-29,29/11/2024
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","Kiốt 1, số 279, Lê Văn Việt, Khu phố 5",Phường Hiệp Phú,TP. Thủ Đức,Ds Trần Minh Trí,2014-05-26,Sở Y tế TP.HCM,GPP,2024-01-25,25/01/2027
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","268, Lê Văn Khương, Tổ 6, Khu phố 4",Phường Thới An,Quận 12,,2022-04-29,Sở Y tế Tỉnh Tiền Giang,GPP,2023-04-21,21/04/2026
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","218, Tân Sơn Nhì",Phường Tân Sơn Nhì,Tân Phú,Ds Lê Thị Minh Thảo,2015-02-24,Sở Y tế TP.HCM,GPP,2022-06-29,29/06/2025
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","93, TL 15, Tổ 12, khu phố 3C",Phường Thạnh Lộc,Quận 12,Ds. Trần Minh Trí,2021-03-03,Sở Y tế TP.HCM,GPP,2023-06-30,30/06/2026
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","Số 119A, Tỉnh lộ 2, Ấp Đình",Xã Tân Phú Trung,Củ Chi,,2021-09-29,Sở Y tế Tỉnh Vĩnh Long,GPP,2022-03-29,29/03/2025
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","95, TL27, Tổ 11, Khu phố 3B",Phường Thạnh Lộc,Quận 12,Ds. Bùi Thanh Nguyệt,2022-10-14,Sở Y tế TP.HCM,GPP,2023-09-19,19/09/2026
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","35, Đường 19, Khu phố 4",Phường Hiệp Bình Chánh,TP. Thủ Đức,Ds. Bùi Hùng Cường,2023-12-27,Sở Y tế TP.HCM,GPP,2024-04-19,19/04/2027
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","105, Bãi Sậy",Phường 01,Quận 6,Ds. Lê Thị Minh Thảo,2021-10-27,Sở Y tế TP.HCM,GPP,2021-12-28,28/12/2024
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","311, Phan Anh",Phường Bình Trị Đông,Bình Tân,Ds. Nguyễn Thị Kim Ngân,2019-08-22,Sở Y tế TP.HCM,GPP,2023-08-24,24/08/2026
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm",16 Nguyễn Văn Hưởng,Phường Thảo Điền,TP. Thủ Đức,Bùi Hùng Cường,2024-08-02,Sở Y tế TP.HCM,GPP,2024-10-17,18/10/2027
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm",405 Phạm Thế Hiển,Phường 03,Quận 8,,2014-03-14,Sở Y tế TP.HCM,GPP,2024-10-17,18/10/2027
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","35/3E, Tân Thuận Tây",Phường Tân Thuận Tây,Quận 7,Ds. Bùi Hùng Cường,2022-11-03,Sở Y tế TP.HCM,GPP,2023-04-10,10/04/2026
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","8, Phạm Đình Toái",Phường Võ Thị Sáu,Quận 3,Ds. Nguyễn Thị Kim Ngân,2022-09-20,Sở Y tế TP.HCM,GPP,2023-01-27,27/01/2026
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","574/113, SinCo",Phường Bình Trị Đông B,Bình Tân,Ds. Nguyễn Trần Công Huân,2022-05-31,Sở Y tế TP.HCM,GPP,2022-12-15,15/12/2025
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","114, Nguyễn Thượng Hiền",Phường 05,Quận 3,Ds Trần Thị Như Thủy,2014-07-21,Sở Y tế TP.HCM,GPP,2024-02-06,06/02/2027
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","41, Đường số 59",Phường 14,Gò Vấp,,2019-10-04,Sở Y tế Tỉnh Tây Ninh,GPP,2023-10-02,02/10/2026
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","Số 132/69, Cây Sung",Phường 14,Quận 8,Ds. Nguyễn Thị Kim Ngân,2023-03-31,Sở Y tế TP.HCM,GPP,2023-08-17,17/08/2026
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","2978, Phạm Thế Hiển",Phường 07,Quận 8,,2015-08-14,Sở Y tế Tỉnh Tiền Giang,GPP,2024-01-29,29/01/2027
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","32B Nguyễn Thị Tràng (HT17 cũ), tổ 11, khu phố 6",Phường Hiệp Thành,Quận 12,Ds. Nguyễn Trần Công Huân,2019-08-08,Sở Y tế TP.HCM,GPP,2024-07-31,01/08/2027
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","Số 78A, Đường số 120, ấp 5",Xã Tân Thạnh Đông,Củ Chi,,2022-11-08,Sở Y tế Tỉnh Hậu Giang,GPP,2023-09-21,21/09/2026
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","A1/7 Vĩnh Lộc, ấp 1",Xã Vĩnh Lộc A,Bình Chánh,,2022-01-17,Sở Y tế Tỉnh Đồng Tháp,GPP,2023-01-11,11/01/2026
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","221, Tạ Quang Bửu",Phường 03,Quận 8,Ds Trần Minh Trí,2014-07-29,Sở Y tế TP.HCM,GPP,2021-10-20,20/10/2024
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","702, Hương Lộ 2, khu phố 4",Phường Bình Trị Đông A,Bình Tân,Ds. Nguyễn Thị Ngọc Diễm,2020-01-15,Sở Y tế TP.HCM,GPP,2023-06-02,02/06/2026
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","46/3, Tổ 14, Khu phố 1",Phường Thạnh Xuân,Quận 12,Ds Lê Thị Thu Hòa,2015-03-24,Sở Y tế TP.HCM,GPP,2024-01-25,25/01/2027
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","C16/28A, Ấp 3",Xã Hưng Long,Bình Chánh,,2016-07-19,Sở Y tế Tỉnh Đồng Tháp,GPP,2024-05-14,14/05/2027
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","79, TX22, Tổ 16, Khu phố 6",Phường Thạnh Xuân,Quận 12,Ds Trần Thị Như Thủy,2015-03-02,Sở Y tế TP.HCM,GPP,2023-02-02,02/02/2026
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm",142Trần Quốc Thảo,Phường Võ Thị Sáu,Quận 3,Ds. Thái Thanh Tú,2023-10-09,Sở Y tế TP.HCM,GPP,2024-05-20,20/05/2027
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","477/61, Nơ Trang Long",Phường 13,Bình Thạnh,Ds. Trần Minh Trí,2017-12-22,Sở Y tế TP.HCM,GPP,2023-01-18,18/01/2026
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","54, Thiên Phước",Phường 09,Tân Bình,Ds Phạm Văn Sơn,2014-07-14,Sở Y tế TP.HCM,GPP,2023-10-05,05/10/2026
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","G16/10, Ấp 7",Xã Lê Minh Xuân,Bình Chánh,Ds. Nguyễn Trần Công Huân,2022-05-16,Sở Y tế TP.HCM,GPP,2023-07-26,26/07/2027
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","Căn hộ A-022 Chung cư Moonlight Park View, 36-40, Đường số 7",Phường An Lạc A,Bình Tân,Ds. Nguyễn Thị Ngọc Diễm,2022-03-31,Sở Y tế TP.HCM,GPP,2022-10-14,
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","248A, Lê Văn Lương",Phường Tân Hưng,Quận 7,Ds Phạm Văn Sơn,2014-07-29,Sở Y tế TP.HCM,GPP,2019-03-06,06/03/2022
nhà thuốc,bán thuốc trừ vắc xin,"125/1, TTH21, tổ 18, Khu phố 1",Phường Tân Thới Hiệp,Quận 12,Ds Trần Thị Như Thủy,2016-04-25,Sở Y tế TP.HCM,GPP,2017-09-11,11/09/2020
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","28, Lê Văn Việt, khu phố 2",Phường Hiệp Phú,TP. Thủ Đức,Ds Trần Minh Trí,2014-11-28,Sở Y tế TP.HCM,GPP,2019-04-24,15/05/2020
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","85/69, Bình Thành, Khu phố 4",Phường Bình Hưng Hòa B,Bình Tân,,2022-10-12,Sở Y tế Tỉnh Bình Phước,GPP,2022-12-21,21/12/2025
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","530/6, Hòa Hảo",Phường 07,Quận 10,,2021-07-09,Sở Y tế TP. Cần Thơ,GPP,2023-01-18,18/01/2026
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","D.06, Chung cư Bình Thới",Phường 08,Quận 11,Ds Phạm Văn Sơn,2014-03-28,Sở Y tế TP.HCM,GPP,2017-10-27,27/10/2020
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","MPN 54L, HT06, tổ 6, Khu phố 3",Phường Hiệp Thành,Quận 12,Ds Trần Minh Trí,2013-08-29,Sở Y tế TP.HCM,GPP,2023-12-21,21/12/2026
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","32/18E, ấp Tiền Lân",Xã Bà Điểm,Hóc Môn,Ds. Nguyễn Thị Kim Ngân,2018-12-10,Sở Y tế TP.HCM,GPP,2024-04-15,15/04/2027
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","73 đường 10, Khu phố 8",Phường Linh Trung,TP. Thủ Đức,Thái Thanh Tú,2024-02-06,Sở Y tế TP.HCM,GPP,2024-10-23,24/10/2027
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","E 12/20, Thới Hòa, Ấp 5",Xã Vĩnh Lộc A,Bình Chánh,,2020-12-07,Sở Y tế Tỉnh Hậu Giang,GPP,2024-03-19,19/03/2027
nhà thuốc,bán thuốc thành phẩm,"61C, TTH10, Tổ 10, Khu phố 2",Phường Tân Thới Hiệp,Quận 12,Ds Trần Thị Như Thủy,2014-12-18,Sở Y tế TP.HCM,GPP,2015-12-10,10/12/2018
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","7 Đường số 6, Cư xá Đô Thành",Phường 04,Quận 3,Bùi Hùng Cường,2024-06-07,Sở Y tế TP.HCM,GPP,2024-10-11,12/10/2027
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","6A, Tây Lân",Phường Bình Trị Đông A,Bình Tân,Ds. Bùi Hùng Cường,2023-03-06,Sở Y tế TP.HCM,GPP,2023-11-20,20/11/2026
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm",28F Đường số 17,Phường Tân Thuận Tây,Quận 7,Lê Thị Minh Thảo,2024-06-05,Sở Y tế TP.HCM,GPP,2024-10-15,16/10/2027
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","715, Lê Trọng Tấn, Khu phố 2",Phường Bình Hưng Hòa,Bình Tân,Ds Trần Minh Trí,2015-03-17,Sở Y tế TP.HCM,GPP,2023-08-25,25/08/2026
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","D7/12A, ấp 4",Xã Vĩnh Lộc A,Bình Chánh,Ds. Bùi Hùng Cường,2023-05-15,Sở Y tế TP.HCM,GPP,2023-09-19,19/09/2026
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","Số 206A, Quốc lộ 22, Ấp Hậu",Xã Tân Thông Hội,Củ Chi,Ds. Nguyễn Trần Công Huân,2022-09-30,Sở Y tế TP.HCM,GPP,2023-01-11,11/01/2026
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","73B, Đường số 99, Ấp Giữa",Xã Tân Phú Trung,Củ Chi,Ds. Lê Thị Minh Thảo,2023-07-14,Sở Y tế TP.HCM,GPP,2023-11-10,10/11/2026
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","1414, Lê Đức Thọ",Phường 13,Gò Vấp,Ds. Nguyễn Trần Công Huân,2021-04-09,Sở Y tế TP.HCM,GPP,2024-03-05,05/03/2027
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm",5 Đường số 16,Phường Bình Hưng Hòa A,Bình Tân,Ds. Nguyễn Thị Kim Ngân,2022-03-29,Sở Y tế TP.HCM,GPP,2024-07-23,24/07/2027
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","1302, Nguyễn Văn Bứa, Ấp 5",Xã Xuân Thới Sơn,Hóc Môn,Ds. Nguyễn Thị Ngọc Diễm,2023-05-26,Sở Y tế TP.HCM,GPP,2023-11-17,17/11/2026
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","40-40A, Lê Quang Định",Phường 14,Bình Thạnh,Ds. Nguyễn Huy Hùng,2019-10-18,Sở Y tế TP.HCM,GPP,2022-11-11,11/11/2025
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","242/4, Bà Hom",Phường 13,Quận 6,,2023-06-21,Sở Y tế Tỉnh Đồng Nai,GPP,2024-04-19,03/01/2027
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","Số 26, đường Cá Lăng, Ấp Phú Lợi",Xã Phú Hòa Đông,Củ Chi,,2022-05-27,Sở Y tế Tỉnh Kiên Giang,GPP,2022-11-28,28/11/2022
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","82A, Nguyên Hồng",Phường 11,Bình Thạnh,Ds. Trần Minh Trí,2018-10-30,Sở Y tế TP.HCM,GPP,2023-03-10,10/03/2026
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","244, Lê Đình Cẩn",Phường Tân Tạo,Bình Tân,Ds Trần Thị Như Thủy,2013-08-22,Sở Y tế TP.HCM,GPP,2022-10-21,
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","Số 86, đường Hoàng Hoa Thám",Phường 12,Tân Bình,Ds. Bùi Hùng Cường,2022-02-22,Sở Y tế TP.HCM,GPP,2022-06-29,29/06/2025
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","11/9B, Nguyễn Thị Ngâu, Ấp Thới Tứ",Xã Thới Tam Thôn,Hóc Môn,Ds. Bùi Hùng Cường,2023-03-27,Sở Y tế TP.HCM,GPP,2023-08-04,04/08/2026
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","B94, Nguyễn Thần Hiến",Phường 18,Quận 4,Ds. Bùi Thanh Nguyệt,2018-02-13,Sở Y tế TP.HCM,GPP,2023-11-20,20/11/2026
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","Số 784, Tỉnh lộ 15, Khu phố Ấp 12",Xã Tân Thạnh Đông,Củ Chi,,2018-06-21,Sở Y tế TP. Cần Thơ,GPP,2023-03-23,23/03/2026
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","148, Phạm Văn Chiêu",Phường 09,Gò Vấp,,2015-09-01,Sở Y tế Tỉnh Đồng Tháp,GPP,2019-01-17,17/01/2022
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","648, Quốc lộ 1A, Khu phố 7",Phường Bình Hưng Hòa B,Bình Tân,Ds Trương Việt Cường,2013-08-29,Sở Y tế TP.HCM,GPP,2023-05-04,04/05/2026
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","27, Tân Tiến",Phường 08,Tân Bình,Ds Trần Minh Trí,2014-05-26,Sở Y tế TP.HCM,GPP,2023-12-19,19/12/2026
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm",95 Trần Văn Ơn,Phường Tân Sơn Nhì,Tân Phú,Nguyễn Thị Kim Ngân,2024-07-04,Sở Y tế TP.HCM,GPP,2024-09-12,13/09/2027
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm",117/79 Hồ Văn Long,Phường Tân Tạo,Bình Tân,Lê Huỳnh Thùy Dung,2024-07-11,Sở Y tế TP.HCM,GPP,2024-09-19,20/09/2027
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm",125 Minh Phụng,Phường 09,Quận 6,Ds Trần Minh Trí,2017-08-03,Sở Y tế TP.HCM,GPP,2024-09-06,07/09/2027
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","162/1, Lã Xuân Oai",Phường Tăng Nhơn Phú A,TP. Thủ Đức,Ds Bùi Thanh Nguyệt,2013-08-19,Sở Y tế TP.HCM,GPP,2021-01-11,11/01/2024
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","27A, Gò Dầu",Phường Tân Quý,Tân Phú,Ds. Bùi Thanh Nguyệt,2021-11-11,Sở Y tế TP.HCM,GPP,2023-04-11,11/04/2026
